year,gross
1911,10152
1913,981000
1914,4134849
1915,10987728
1916,8862962
1917,1061256
1918,9960261
1919,3000000
1920,17658489
1921,17787168
1922,3830000
1923,7630000
1925,35279008
1926,6316878
1927,11454179
1928,18455000
1929,14163950
1930,24137712
1931,18187390
1932,10752000
1933,28799312
1934,2759000
1935,10745711
1936,12500000
1937,199679431
1938,5287000
1939,234814849
1940,183414052
1941,53363698
1942,151628406
1943,72065910
1944,29625515
1945,99188090
1946,132823849
1947,46123625
1948,56274090
1949,68498321
1950,119573377
1951,72949440
1952,193276176
1953,253250143
1954,181260880
1955,251539753
1956,367868097
1957,161901486
1958,118561273
1959,320754670
1960,287937710
1961,262743884
1962,316489915
1963,352334591
1964,414244468
1965,555859480
1966,351746541
1967,756872580
1968,452253364
1969,394180996
1970,688744771
1971,499022468
1972,669806625
1973,928281793
1974,1097263250
1975,1085109246
1976,1150323594
1977,1727537527
1978,1898774138
1979,1985828410
1980,2270332346
1981,2056492730
1982,2136374300
1983,2202521952
1984,3171810092
1985,2632306663
1986,2696838267
1987,3116007869
1988,3333126843
1989,3810787199
1990,4062411913
1991,4015010066
1992,4344154093
1993,6901109408
1994,4760885832
1995,4884858413
1996,5377054974
1997,6347549764
1998,6018444840
1999,7218630536
2000,7025629793
2001,7257381233
2002,8820574186
2003,8289418016
2004,8697979736
2005,8560497626
2006,8245295107
2007,7995801571
2008,10548948481
2009,9299988394
2010,9794491901
2011,9214333416
2012,9920955182
2013,9845118692
2014,9375642472
2015,11193064238
2016,7031718673
